0,Off,LLN0.Zero.mag.f
1C2C,SRC 2 Phase B Reactive Power,ACsrcMMXU2.VAr.phsB.instCVal.mag.f
1C2E,SRC 2 Phase C Reactive Power,ACsrcMMXU2.VAr.phsC.instCVal.mag.f
1C32,SRC 2 Phase A Apparent Power,ACsrcMMXU2.VA.phsA.instCVal.mag.f
1C34,SRC 2 Phase B Apparent Power,ACsrcMMXU2.VA.phsB.instCVal.mag.f
1C36,SRC 2 Phase C Apparent Power,ACsrcMMXU2.VA.phsC.instCVal.mag.f
1C39,SRC 2 Phase A Power Factor,ACsrcMMXU2.PF.phsA.instCVal.mag.f
1C3A,SRC 2 Phase B Power Factor,ACsrcMMXU2.PF.phsB.instCVal.mag.f
1C3B,SRC 2 Phase C Power Factor,ACsrcMMXU2.PF.phsC.instCVal.mag.f
1C40,SRC 3 Three Phase Real Power,ACsrcMMXU3.TotW.instMag.f
1C48,SRC 3 Three Phase Reactive Power,ACsrcMMXU3.TotVAr.instMag.f
1C50,SRC 3 Three Phase Apparent Power,ACsrcMMXU3.TotVA.instMag.f
1C58,SRC 3 Three Phase Power Factor,ACsrcMMXU3.TotPF.instMag.f
1D84,SRC 3 Frequency,ACsrcMMXU3.Hz.instMag.f
1A95,SRC 3 Phase AB Voltage Magnitude,ACsrcMMXU3.PPV.phsAB.instCVal.mag.f
1A97,SRC 3 Phase AB Voltage Angle,ACsrcMMXU3.PPV.phsAB.instCVal.ang.f
1A98,SRC 3 Phase BC Voltage Magnitude,ACsrcMMXU3.PPV.phsBC.instCVal.mag.f
1A9A,SRC 3 Phase BC Voltage Angle,ACsrcMMXU3.PPV.phsBC.instCVal.ang.f
1A9B,SRC 3 Phase CA Voltage Magnitude,ACsrcMMXU3.PPV.phsCA.instCVal.mag.f
1A9D,SRC 3 Phase CA Voltage Angle,ACsrcMMXU3.PPV.phsCA.instCVal.ang.f
1A8F,SRC 3 Phase AB Voltage RMS,ACsrcMMXU3.VabRMS.instMag.f
1A91,SRC 3 Phase BC Voltage RMS,ACsrcMMXU3.VbcRMS.instMag.f
1A93,SRC 3 Phase CA Voltage RMS,ACsrcMMXU3.VcaRMS.instMag.f
1A86,SRC 3 Phase AG Voltage Magnitude,ACsrcMMXU3.PhV.phsA.instCVal.mag.f
1A88,SRC 3 Phase AG Voltage Angle,ACsrcMMXU3.PhV.phsA.instCVal.ang.f
1A89,SRC 3 Phase BG Voltage Magnitude,ACsrcMMXU3.PhV.phsB.instCVal.mag.f
1A8B,SRC 3 Phase BG Voltage Angle,ACsrcMMXU3.PhV.phsB.instCVal.ang.f
1A8C,SRC 3 Phase CG Voltage Magnitude,ACsrcMMXU3.PhV.phsC.instCVal.mag.f
1A8E,SRC 3 Phase CG Voltage Angle,ACsrcMMXU3.PhV.phsC.instCVal.ang.f
1A80,SRC 3 Phase AG Voltage RMS,ACsrcMMXU3.VaRMS.instMag.f
