0,Off,@Master/LLN0.Zero.mag.f
1884,SRC 3 Phase C Current RMS,@Meter/ACsrcMMXU3.AcRMS.instMag.f
1886,SRC 3 Neutral Current RMS,@Meter/ACsrcMMXU3.AresRMS.instMag.f
18A2,SRC 3 Differential Ground Current Magnitude,@Meter/ACsrcMMXU3.Adif.instCVal.mag.f
18A4,SRC 3 Differential Ground Current Angle,@Meter/ACsrcMMXU3.Adif.instCVal.ang.f
1C42,SRC 3 Phase A Real Power,@Meter/ACsrcMMXU3.W.phsA.instCVal.mag.f
1C44,SRC 3 Phase B Real Power,@Meter/ACsrcMMXU3.W.phsB.instCVal.mag.f
1C46,SRC 3 Phase C Real Power,@Meter/ACsrcMMXU3.W.phsC.instCVal.mag.f
1C4A,SRC 3 Phase A Reactive Power,@Meter/ACsrcMMXU3.VAr.phsA.instCVal.mag.f
1C4C,SRC 3 Phase B Reactive Power,@Meter/ACsrcMMXU3.VAr.phsB.instCVal.mag.f
1C4E,SRC 3 Phase C Reactive Power,@Meter/ACsrcMMXU3.VAr.phsC.instCVal.mag.f
1C52,SRC 3 Phase A Apparent Power,@Meter/ACsrcMMXU3.VA.phsA.instCVal.mag.f
1C54,SRC 3 Phase B Apparent Power,@Meter/ACsrcMMXU3.VA.phsB.instCVal.mag.f
1C56,SRC 3 Phase C Apparent Power,@Meter/ACsrcMMXU3.VA.phsC.instCVal.mag.f
1C59,SRC 3 Phase A Power Factor,@Meter/ACsrcMMXU3.PF.phsA.instCVal.mag.f
1C5A,SRC 3 Phase B Power Factor,@Meter/ACsrcMMXU3.PF.phsB.instCVal.mag.f
1C5B,SRC 3 Phase C Power Factor,@Meter/ACsrcMMXU3.PF.phsC.instCVal.mag.f
1C60,SRC 4 Three Phase Real Power,@Meter/ACsrcMMXU4.TotW.instMag.f
1C68,SRC 4 Three Phase Reactive Power,@Meter/ACsrcMMXU4.TotVAr.instMag.f
1C70,SRC 4 Three Phase Apparent Power,@Meter/ACsrcMMXU4.TotVA.instMag.f
1C78,SRC 4 Three Phase Power Factor,@Meter/ACsrcMMXU4.TotPF.instMag.f
1D86,SRC 4 Frequency,@Meter/ACsrcMMXU4.Hz.instMag.f
1AD5,SRC 4 Phase AB Voltage Magnitude,@Meter/ACsrcMMXU4.PPV.phsAB.instCVal.mag.f
1AD7,SRC 4 Phase AB Voltage Angle,@Meter/ACsrcMMXU4.PPV.phsAB.instCVal.ang.f
1AD8,SRC 4 Phase BC Voltage Magnitude,@Meter/ACsrcMMXU4.PPV.phsBC.instCVal.mag.f
1ADA,SRC 4 Phase BC Voltage Angle,@Meter/ACsrcMMXU4.PPV.phsBC.instCVal.ang.f
1ADB,SRC 4 Phase CA Voltage Magnitude,@Meter/ACsrcMMXU4.PPV.phsCA.instCVal.mag.f
1ADD,SRC 4 Phase CA Voltage Angle,@Meter/ACsrcMMXU4.PPV.phsCA.instCVal.ang.f
1ACF,SRC 4 Phase AB Voltage RMS,@Meter/ACsrcMMXU4.VabRMS.instMag.f
1AD1,SRC 4 Phase BC Voltage RMS,@Meter/ACsrcMMXU4.VbcRMS.instMag.f
